screenName,name,bio,followersCount,tweetsCount,friendsCount
sjoban447,joban singh,• Currently learning Web Development 🕸️ • B. Tech 2nd year student • Computer Science and Engineering • Interested in AI •,0,0,5
prapttiii,Prapti,,20,104,72
SKCHAUB40739540,SATYAM CHATURVEDI,,17,0,262
ChaitanyPatel11,Chaitany Patel,"Aspiring Software Engineer 🎯| Learning Full Stack Development (MERN) | Open Source🤝 | SSOC'23🌞
“I’m not superstitious but I am a little stitious.”",0,0,3
CodeWithVroon,Varun,Coder 💻 | Tech Enthusiast 🚀 | DL 🧠 | PC Gamer 🎮 | Living in my imaginary world 🏰,112,477,272
__Jaisurya,Jaisurya,"yeehawing..😊
VESIT' 25 | Developer | @react | @LeetCode | GSSOC'23 | Tensorflow | Docker | Exploring Devops | Literature | Poet",19,192,357
shreya_nalawade,Shreya,Google DSC Lead'23 @dscabesit • Full Stack Web Developer • Part-time Chef 👨‍🍳 • Open Source Contributor • Student Expert @getpostman,26,63,82
_keshav_malik,Keshav Malik,#piano @bts_twt,547,265,476
arogatii,Possible,world is yours,19,1334,63
SS_MINDS3T,Mindset,"Student at @NizamCollege ||
Pursuing BCA",367,13276,3175
srinivasputhepu,Srinivas Puthepu,,42,417,123
Keerthinathan13,Keerthinathan,,8,9,164
learn_sk5,s.k5,"Student@MVJCE

https://t.co/jvMofbCr31",7,0,209
Purusho57396691,Purushotham Gowda,,4,10,51
arul_018,4013 Arul Murugan R,Into development and competitive coding,1,2,68
niladrix719,Niladri Adhikary,,1,5,80
Bhuvan77510570,Bhuvan Sai Krishna,Trying to figure out.,17,55,193
rahulkumarhn1,Rahul Kumar,😘🥰🌺🍎🍇😃😃😀,9,29,159
AdityaS77271124,Aditya Sahu,,2,1,48
Rajiv__Gupta,Rajiv,✺ Sharing my Development Journey #100DaysOfCode ✺ GSoC'23 @RocketChat ✺ Integration Ninja ✺ OpenSourcer ✺ Building in Public  ✺ prev @neevfinanceHQ,1,0,84
NabhagMotivaras,Nabhag Motivaras,Studying B.E. Information Technology at SVIT Vasad,777,2559,865
PZanjrukiya,Pritesh Zanjrukiya,"I love Jesus 🥰 || A data analytics enthusiast || Mathematician, critical thinker || loves music 🎹",1,5,18
Ivie_Odia1,IvieOdia ðŸŽ§,,8,89,94
BharathBKRISHNA,Bharath B,,0,0,13
Prabhat62994017,Prabhat Mishra,#Believe,2,6,23
Vishal290919,vishal.eth,,7,88,285
Anurag_kumar93,Anurag Kumar,"Web3 focused software development company with extensive expertise in #blockchain, #smartcontract #Gamify, #NFTs, #Defi and #Tokenomics",2,4,106
vivinsoftware,vivin,,220,79,223
SanyaAr26294301,Sanya Arora,Founder - RoomDekhoo || Educator - Unacademy || Motivational Speaker || Full Stack Web Developer ||  DSA,4,27,46
Darshan9179,Darshan Sharma,"Cse@bitsathyofficial
1st year
New to Tech
Coding
Innovations
Explore with me
Proud Indian 🇮🇳",69,149,130
keerthanaa2509,Keerthana A,My words will either attract a strong mind or offend a weak one.,12,57,79
